Supercharger,Street Address,City,State,Zip,Country,Stalls,GPS,Elev.(m),Status,Open Date,Tesla,Discuss
"Reno, NV",3800 S Virginia St,Reno,NV,89509,USA,6,"39.489732, -119.794179","1,356",Open,2016-05-05,SC,thread
"Hawthorne, NV",705 Hwy 362,Hawthorne,NV,89415,USA,8,"38.533939, -118.62308","1,301",Open,2016-05-03,SC,thread
"Pearl, MS",200 Bass Pro Dr,Pearl,MS,39208,USA,8,"32.274159, -90.151048",79,Open,2016-03-31,SC,thread
"Terre Haute, IN","Meijer, 5600 E, New Margaret Dr",Terre Haute,IN,47803,USA,8,"39.443345, -87.331737",171,Open,2016-03-30,SC,thread
"Champaign, IL",2401 N Prospect Ave,Champaign,IL,61822,USA,8,"40.146209, -88.259884",228,Open,2016-03-23,SC,thread
"Warsaw, NC",2676 W Nc 24 Hwy,Warsaw,NC,28398,USA,6,"34.994793, -78.135673",47,Open,2016-03-11,SC,thread
"Beatty, NV",700 US-95,Beatty,NV,89003,USA,8,"36.913718, -116.754371","1,011",Open,2016-02-09,SC,thread
"Slidell, LA",Fremaux Town Center 1303 Town Center Pkwy,Slidell,LA,70458,USA,8,"30.266552, -89.760156",3,Open,2016-02-06,SC,thread
"Fresno, CA",6709 North Riverside Dr,Fresno,CA,93704,USA,10,"36.835455, -119.91058",91,Open,2016-01-29,SC,thread
"Buttonwillow, CA",20673 Tracy Ave,Buttonwillow,CA,93206,USA,10,"35.400105, -119.397796",90,Open,2016-01-29,SC,thread
"Allentown, PA","Tilghman Square, 4680 Broadway",Allentown,PA,18104,USA,8,"40.588102, -75.559904",125,Open,2016-01-21,SC,thread
"Mammoth Lakes, CA",165 Old Mammoth Rd,Mammoth Lakes,CA,93546,USA,8,"37.644544, -118.965875","2,390",Open,2016-01-21,SC,thread
"Ukiah, CA",310 S State St,Ukiah,CA,95482,USA,8,"39.148694, -123.20787",193,Open,2016-01-13,SC,thread
"Victoria, TX",3107 South Laurent St,Victoria,TX,77901,USA,6,"28.766853, -96.978988",23,Open,2015-12-30,SC,thread
"Louisville, KY",3101 Bardstown Rd,Louisville,KY,40205,USA,8,"38.211846, -85.673087",151,Open,2015-12-30,SC,thread
"Wytheville, VA",165 Malin Dr.,Wytheville,VA,,USA,6,"36.945795, -81.054406",683,Open,2015-12-30,SC,thread
"Colorado Springs, CO",215 North Cascade Ave,Colorado Springs,CO,80903,USA,8,"38.837573, -104.824907","1,835",Open,2015-12-29,SC,thread
"Cadillac, MI",8605 34 Rd,Cadillac,MI,49601,USA,8,"44.282551, -85.403096",393,Open,2015-12-23,SC,thread
"Plantation, FL",813 S University Dr,Plantation,FL,33324,USA,8,"26.108976, -80.250883",1,Open,2015-12-19,SC,thread
"Asheville, NC",800 Brevard Road,Asheville,NC,,USA,8,"35.531391, -82.604487",662,Open,2015-12-16,SC,thread
"Lexington, VA",880 N. Lee Highway,Lexington,VA,,USA,6,"37.796979, -79.419007",319,Open,2015-12-16,SC,thread
"Burbank, CA",811 S San Fernando Blvd,Burbank,CA,91502,USA,6,"34.174712, -118.300826",168,Open,2015-12-15,SC,thread
"Tannersville, PA",1000 Premium Outlets Dr,Tannersville,PA,18372,USA,8,"41.045431, -75.312244",284,Open,2015-12-14,SC,thread
"Augusta, ME",13 Stephen King Dr.,Augusta,ME,4330,USA,8,"44.34787, -69.786088",96,Open,2015-12-04,SC,thread
"Kingsland, GA",Kingsland Welcome Center 1190 East Boone Ave,Kingsland,GA,31548,USA,6,"30.790764, -81.663729",8,Open,2015-11-18,SC,thread
"Greenville, SC",108 Carolina Point Pkwy,Greenville,SC,29607,USA,8,"34.825895, -82.306973",304,Open,2015-11-09,SC,thread
"Amarillo, TX",8271 W Amarillo Blvd,Amarillo,TX,79124,USA,8,"35.192198, -101.933371","1,134",Open,2015-11-05,SC,thread
"Denton, TX",2710 W University Dr,Denton,TX,76201,USA,6,"33.231403, -97.166419",212,Open,2015-11-04,SC,thread
"South Burlington, VT",222 Dorset St,South Burlington,VT,5403,USA,8,"44.463327, -73.180184",94,Open,2015-11-04,SC,thread
"Sandy, OR",16625 SE 362nd Dr,Sandy,OR,97055,USA,8,"45.403531, -122.294242",236,Open,2015-11-04,SC,thread
"Binghamton, NY",1062 Front St,Binghamton,NY,13905,USA,8,"42.145553, -75.901755",262,Open,2015-11-01,SC,thread
"Twin Falls, ID","Twin Falls Tourist Center, 2015 Nielsen Point Place",Twin Falls,ID,83301,USA,8,"42.598103, -114.456183","1,101",Open,2015-10-28,SC,thread
"Truckee-Brockway Rd, CA",The Rock 11209 Brockway Rd,Truckee,CA,96161,USA,8,"39.321865, -120.1621","1,801",Open,2015-10-23,SC,thread
"Gardnerville, NV","Topaz Lodge, 1979 US-395",Gardnerville,NV,89410,USA,6,"38.695341, -119.547596","1,579",Open,2015-10-22,SC,thread
"Baxter, MN",6967 Lake Forest Rd,Baxter,MN,56425,USA,8,"46.378868, -94.256413",369,Open,2015-10-21,SC,thread
"Hinckley, MN",404 Fire Monument Rd,Hinckley,MN,55037,USA,8,"46.009592, -92.93155",313,Open,2015-10-21,SC,thread
"Norfolk, VA",5900 E Virginia Beach Blvd,Norfolk,VA,,USA,6,"36.858614, -76.206015",4,Open,2015-10-18,SC,thread
"Dublin, CA",6701 Amador Plaza Rd,Dublin,CA,94568,USA,10,"37.702359, -121.92593",103,Open,2015-10-17,SC,thread
"Price, UT",925 West Westwood Blvd,Price,UT,84501,USA,8,"39.601655, -110.83131","1,207",Open,2015-10-16,SC,thread
"Seabrook, NH",700 Lafayette Rd,Seabrook,NH,3874,USA,8,"42.895182, -70.869351",16,Open,2015-10-09,SC,thread
"Sheboygan, WI","595 Taylor Dr, by Festival Foods",Sheboygan,WI,53081,USA,8,"43.749912, -87.747073",200,Open,2015-10-07,SC,thread
"Gillette, WY","Hampton Inn, 211 Decker Ct",Gillette,WY,82718,USA,4,"44.29301, -105.526628","1,400",Open,2015-09-24,SC,thread
"Tallahassee, FL",1400 Village Square Blvd,Tallahassee,FL,32309,USA,6,"30.510935, -84.247838",63,Open,2015-09-23,SC,thread
"Tinton Falls, NJ",1 Premium Outlets Blvd,Tinton Falls,NJ,7753,USA,8,"40.226272, -74.093538",33,Open,2015-09-19,SC,thread
